id,nome,tipo_registro,categoria_principal,categorias_secundarias,resumo,cidade,uf,rua,numero,bairro,complemento,latitude,longitude,telefone,whatsapp,email,site,instagram,horario_funcionamento,servicos_atracoes,acessibilidade,necessita_reserva,cadastur,url_origem,url_mapa,status_revisao,situacao_catalogo,alertas_catalogo,fontes_consultadas
atm_0001,Altamira (Portal),empresa,,,"A entidade turística é Altamira, PA, um município destacado por sua grande extensão territorial e apelo turístico. As fontes indicam que o local é um Polo Turístico e atrai turistas de todos os perfis, oferecendo serviços como turismo de natureza e cultura local. Recomenda-se verificar a necessidade de reserva para eventos específicos, como torneios de pesca.",Altamira,PA,,,Esplanada do Xingu,,"-3,2101465","-52,2093272",,,,,,,"Turismo de natureza, observação de belezas naturais, cultura local",,Sim,,https://www.google.com/maps/place/Orla+ALTAMIRA+%2FPAR%C3%81/data=!4m7!3m6!1s0x929239003895a9df:0xc2550c159d246a75!8m2!3d-3.2101465!4d-52.2093272!16s%2Fg%2F11xv0m84hy!19sChIJ36mVOAA5kpIRdWoknRUMVcI?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2101465,-52.2093272",revisado_com_pendencias,Revisar,sem contato | pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0002,Orla Altamira /Pará,ponto_turistico,,,"A Orla ALTAMIRA /PARÁ é uma atração turística em Altamira, PA. O endereço é R. Cel. José Porfírio, 2321 - Esplanada do Xingu. É ideal para lazer, com serviços como banho de rio, passeio, fotografia e contemplação do pôr do sol. O público-alvo inclui famílias, casais e jovens. Não necessita de reserva. O horário de funcionamento é variado, com destaque para o movimento noturno (Fonte: youtube:20:1dcfa867f9).",Altamira,PA,R. Cel. José Porfírio,2321,Esplanada do Xingu,,"-3,2101465","-52,2093272",,,,,,"Aberto ao público, com grande movimentação noturna nos quiosques.","Banho de rio, passeio, fotografia, contemplação do pôr do sol, eventos na concha acústica",,,,https://www.google.com/maps/place/Praia+Artificial+da+Orla+de+Altamira/data=!4m7!3m6!1s0x92923816ca53fdd5:0x7aaa39f4a8aafef5!8m2!3d-3.2058603!4d-52.2054132!16s%2Fg%2F11ckkyvc74!19sChIJ1f1TyhY4kpIR9f6qqPQ5qno?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2101465,-52.2093272",revisado_com_pendencias,Revisar,sem contato | pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0003,Xingu Academia,empresa,Academia,atrativos,"A entidade 'Xingu academia' foi consolidada usando os dados mais alinhados (ID google_maps:435:83aba5d8ae). O nome é 'Xingu academia', classificado como Academia. O endereço é Estr. do Xingu Praia Clube, Altamira - PA. O telefone (do outro registro) e o site (do outro registro) foram incluídos por serem os únicos disponíveis para contato/web, apesar da possível inconsistência de origem.",Altamira,PA,Estr. do Xingu Praia Clube,,Esplanada do Xingu,,-32.281.488,-522.218.479,(91) 99183-9172,(91) 99183-9172,,,https://www.instagram.com/xinguacademia/,seg a sex 05:00 - 22:00 sab 06:00 as 14:00,,,,,https://www.google.com/maps/place/Xingu+Contest+Fisiculturismo/data=!4m7!3m6!1s0x9292399a9e32b4fb:0x7b6fea16e14e6b6!8m2!3d-3.1965018!4d-52.2120012!16s%2Fg%2F11t1h46fzw!19sChIJ-7Qynpo5kpIRtuYUbqH-tgc?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2281488,-52.2218479",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0004,Panda Pesca E Camping,empresa,Acampamento de pesca,atrativos,"Entidade turística consolidada: Panda pesca e camping, classificada como Acampamento de pesca e atrativos. Localizada em Altamira/PA, com endereço em R. Manoel Umbuzeiro, 1817 - B - Centro. Contato: (93) 99130-2010. Coordenadas e dados extraídos do Google Maps (2026-09-11).",Altamira,PA,R. Manoel Umbuzeiro,1817,Centro,B,"-3,2052514","-52,2131753",(93) 99130-2010,,,,,,,,,,https://www.google.com/maps/place/Panda+pesca+e+camping/data=!4m7!3m6!1s0x9292397c759d5799:0x7533b1427c6b68a6!8m2!3d-3.2052514!4d-52.2131753!16s%2Fg%2F11zbfx4w60!19sChIJmVeddXw5kpIRpmhrfEKxM3U?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2052514,-52.2131753",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0005,Parque de Exposições Antonio Inácio de Lucena,empresa,Agricultura e pecuária,atrativos,"Parque de Exposições Antonio Inácio de Lucena, em Altamira-PA, é classificado como atrativo de Agricultura e pecuária. O endereço é Colinas, e as coordenadas são -3.1840177, -52.186758. As informações são baseadas em dados do Google Maps (2026-09-11).",Altamira,PA,Colinas,,,,"-3,1840177","-52,186758",,,,,,,,,,,https://www.google.com/maps/place/Parque+de+Exposi%C3%A7%C3%B5es+Antonio+In%C3%A1cio+de+Lucena/data=!4m7!3m6!1s0x92923781f63f6227:0x8d98ae47c284e518!8m2!3d-3.1840177!4d-52.186758!16s%2Fg%2F11gbxgj90x!19sChIJJ2I_9oE3kpIRGOWEwkeumI0?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.1840177,-52.186758",revisado_com_pendencias,Revisar,sem contato | pendências da fonte,cadastur | google_maps | youtube | visitaltamira | https://altamira.pa.gov.br/conheca-a-historia-de-leonardo-o-icone-do-sertanejo-que-abre-a-expoalta-altamira-2025/
atm_0006,Locadora Talismã,empresa,Agência de aluguel de carros,passeios_agencias,"Entidade turística consolidada: Locadora Talismã, uma agência de aluguel de carros em Altamira/PA. O endereço é R. Intendente Floriano, 2153 - Sudam I. Contato: (93) 99182-8893. Coordenadas e dados extraídos do Google Maps (2026-09-11).",Altamira,PA,R. Intendente Floria,2153,Sudam I,,"-3,2061096","-52,2168756",(93) 99182-8893,,,,,,,,,,https://www.google.com/maps/place/Locadora+Talism%C3%A3/data=!4m7!3m6!1s0x929239fe7020db5f:0xc78144995336d5ac!8m2!3d-3.2061096!4d-52.2168756!16s%2Fg%2F11xfpl5c8j!19sChIJX9sgcP45kpIRrNU2U5lEgcc?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2061096,-52.2168756",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0007,Locarx Aluguel de Carros - Altamira/Pa,empresa,Agência de aluguel de carros,passeios_agencias,"Entidade turística consolidada: LocarX Aluguel de Carros em Altamira/PA. A categoria principal é Agência de aluguel de carros. O endereço completo é Av. Brg. Eduardo Gomes, 873 - Esplanada do Xingu, Altamira - PA, com telefone (93) 99213-1463 e site http://locarx.com.br/. Coordenadas e dados extraídos do Google Maps (2026-09-11).",Altamira,PA,Av. Brg. Eduardo Gomes,873,Esplanada do Xingu,,"-3,216878","-52,2166557",(93) 99213-1463,,,http://locarx.com.br/,,,,,,,https://www.google.com/maps/place/LocarX+Aluguel+de+Carros+-+Altamira%2FPA/data=!4m7!3m6!1s0x929247ca3d9a5661:0xd32f3b7c82dbf49d!8m2!3d-3.216878!4d-52.2166557!16s%2Fg%2F11z8bgqh96!19sChIJYVaaPcpHkpIRnfTbgnw7L9M?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.216878,-52.2166557",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0008,Real Car Locadora de Veiculos,empresa,Agência de aluguel de carros,passeios_agencias,"Entidade turística consolidada: Real car locadora de veiculos, classificada como Agência de aluguel de carros (passeios_agencias). Localizada em Altamira/PA, no bairro Sudam I. Endereço: R. Intendente Floriano, 1906 - Sudam I. Contato: (93) 99126-2706. Coordenadas: -3.2044557, -52.2154279 (Fonte: google_maps, 2026-09-11).",Altamira,PA,R. Intendente Floria,1906,Sudam I,,"-3,2044557","-52,2154279",(93) 99126-2706,,,,,,,,,,https://www.google.com/maps/place/Real+car+locadora+de+veiculos/data=!4m7!3m6!1s0x9292386a92dd0c55:0xf93949101026e41!8m2!3d-3.2044557!4d-52.2154279!16s%2Fg%2F11cr_1b4p1!19sChIJVQzdkmo4kpIRQW4CAZGUkw8?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2044557,-52.2154279",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0009,Semini Rent A Car - Locação de Motos,empresa,Agência de aluguel de carros,passeios_agencias,"Entidade turística consolidada: Semini Rent a Car - Locação de Motos, classificada como Agência de aluguel de carros. Localizada em Altamira/PA, no bairro Sudam I. Endereço: R. Intendente Floriano, s/n - Sudam I, Altamira - PA, 68371-240. Contato: (93) 99203-3692. Coordenadas e site disponíveis (Fonte: google_maps, 2026-09-11).",Altamira,PA,R. Intendente Floria,S/N,Sudam I,,"-3,2064171","-52,2174376",(93) 99203-3692,,,https://www.instagram.com/junior_semini_?igsh=MTFtNWY3OG1xdHQyOA==,,,,,,,https://www.google.com/maps/place/Semini+Rent+a+Car+-+Loca%C3%A7%C3%A3o+de+Motos/data=!4m7!3m6!1s0x929239bcf637dc11:0xfd71c716c5949747!8m2!3d-3.2064171!4d-52.2174376!16s%2Fg%2F11s5mrshr3!19sChIJEdw39rw5kpIRR5eUxRbHcf0?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2064171,-52.2174376",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0010,Locadora de Veículos Salmo 23,empresa,Agência de aluguel de carros,passeios_agencias,"Entidade turística consolidada: locadora de Veículos Salmo 23, classificada como Agência de aluguel de carros. Localizada no Centro, Altamira - PA. Endereço: R. Manoel Umbuzeiro, 1682. Contato: (93) 99226-8080. Coordenadas e dados extraídos do Google Maps (2026-09-11).",Altamira,PA,R. Manoel Umbuzeiro,1682,Centro,,"-3,2041038","-52,2126251",(93) 99226-8080,,,,,,,,,,https://www.google.com/maps/place/locadora+de+Ve%C3%ADculos+Salmo+23/data=!4m7!3m6!1s0x9292386c5382dfef:0xbfc5525ac0569b60!8m2!3d-3.2041038!4d-52.2126251!16s%2Fg%2F11g8xkbvqt!19sChIJ79-CU2w4kpIRYJtWwFpSxb8?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2041038,-52.2126251",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
